127.0.0.1 - - [21/Jan/2021:15:26:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:29:50 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/bg_tab01_on.gif HTTP/1.1" 200 1106
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:29:50 +0900] "GET /egovframework-all-in-one/cop/smt/lsm/usr/selectLeaderSchdulMonthList.do HTTP/1.1" 200 15444
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:29:52 +0900] "GET /egovframework-all-in-one/cop/ems/insertSndngMailView.do HTTP/1.1" 200 5492
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:29:52 +0900] "GET /egovframework-all-in-one/validator.do HTTP/1.1" 200 50483
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:29:54 +0900] "GET /egovframework-all-in-one/cop/ems/selectSndngMailList.do HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:29:56 +0900] "GET /egovframework-all-in-one/cop/bbs/selectBBSMasterInfs.do HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/sts/dst/selectDtaUseStatsListView.do HTTP/1.1" 200 8486
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/css/egovframework/com/com.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/css/egovframework/com/button.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/css/egovframework/com/cmm/jqueryui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/js/egovframework/com/sym/cal/EgovCalPopup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/jqueryui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/js/egovframework/com/cmm/showModalDialog.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/icon/tit_icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/icon/icon_tit2.png HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/images/egovframework/com/cmm/icon/bu_icon_carlendar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2021:15:32:30 +0900] "GET /egovframework-all-in-one/sts/rst/selectReprtStatsListView.do HTTP/1.1" 200 9265
